Title,Company,Location,Type,Level,YearsExp,Country,Skills
Senior Back-End Developer,Digital Experts,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"SEO, Design Patterns, Programming, PHP, Laravel, HTML5, CSS3, javaScript, jQuery, Vue Js, Bootstrap, Computer Engineering"
Sales Consultant,Immigration Gates,Sheikh Zayed,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Sales Skills, Sales Target, Real Estate, Immigration, Sales/Retail"
Sales Specialist- Real Estate,Building Masters,6th of October,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Sales Target, Real Estate Sales, Customer Care, Customer Support, Customer Service, Sales/Retail"
UI UX Designer,apps square,Tanta,Full Time,Entry Level,1-2 Yrs of Exp,Gharbia,"UI, UX, Computer Science, Design, Android, iOS, Web, Communication Skills, Adobe Creative Suite"
Software Developer,Jubia Smart Solutions,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Software Development, Information Technology (IT), Computer Science, Software Engineering, Telecom, Angular, .NET, MySQL, Java"
Treasury Accountant,Confidential,6th of October,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Financial Analysis, Cashier, Microsoft Office, Treasury Accounting, Accounting/Finance"
Purchasing Specialist,Confidential,10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Purchasing, Home Appliances, Supply Chain, Planning, Microsoft Excel, Business Administration, Data Analysis, Retail, Procurement"
Internal Sales Engineer,Al Qema Group (Q-Tech),Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Sales Skills, Engineering, Fire Fighting, Fire Alarm, Sales Target, Sales/Retail, Engineering - Other"
System Implementation Engineer,Fawry Banking & Payment Technology Services,Smart Village,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Implementation Engineer, Product Engineer, XML, DBMS, SOAP-UI, Web Development, UAT, Testing, Troubleshooting"
IT Administrator (Freelance),AL-FIKRY HOLDING,Sheikh Zayed,Part Time,Freelance / Project,4-6 Yrs of Exp,Giza,"Males Only, Information Technology (IT), Computer Science, SQL, MCSA, CCNA, Security, IT/Software Development"
Sales Executive - Media Production,Infinity,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Sales Skills, Media, Advertising Sales, Marketing Agency, Software, CRM, Marketing/PR/Advertising, Sales/Retail"
Sales Consultant (Maintenance Contract),Confidential,Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Sales Target, Mechanical Engineering, Automotive, Showroom, English, Spare Parts, Maintenance Contracts, B2B, Sales/Retail"
System Engineer,EL Mohandess Press,10th of Ramadan City,Full Time,Experienced,5-7 Yrs of Exp,Sharqia,"Information Technology (IT), Computer Science, Networking, Firewalls, Security, Computer Engineering, System Engineering, IT Support"
Marketing Assistant,El Sewedy Trading Group,Mohandessin,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Market Research, Marketing Assistant, E-marketing, engineering, electric, Marketing/PR/Advertising, Media/Journalism/Publishing"
Frontend Developer,KnowledgeNet,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"CSS3, Design, Bootstrap, RESTful, AJAX, Information Technology (IT), Computer Science, Software Development, javaScript"
Receptionist/Front Office Admin,Smart GYM,New Cairo,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Customer Service, Customer Relations, Sales Skills, Administration, Microsoft Office, Secretary, Customer Care, Customer Support"
IT Specialist,Confidential,Badr City,Full Time,Experienced,4+ Yrs of Exp,Cairo,"IT, Surveillance, Computer Science, Installation, Maintenance, Computer Engineering, Telecom, IT/Software Development"
Delivery / Dispatch Manager,Confidential,Maadi,Full Time,Manager,5+ Yrs of Exp,Cairo,"Dispatcher, Fleet, Management, Operations, Parcel Delivery, Express, Logistics/Supply Chain, Operations/Management"
User Experience (UX) Designer,Deal,Alexandria,Full Time,Part Time,3+ Yrs of Exp,Egypt,"3+ Yrs of Exp, UI/UX, Sketch, Adobe XD, Wireframes, UX, Information Technology (IT), Computer Science, Prototypes"
Marketing Social Media Specialist,HEIBCO,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"E-marketing, HTML, Facebook, Software, Web Development, Graphic Designer, Public Relations, CSS, Dreamweaver"
Sales Supervisor - Distribution,Cairo Trading,Cairo,Full Time,Experienced,4+ Yrs of Exp,Egypt,"Sales Skills, Sales Target, Trading, Operations/Management, Sales/Retail"
Production Engineer,Newlife Company,Giza,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Mechanical Engineering, Management, Sheet Metal, Office Product, Punch, Laser, Bending, Welding, Manufacturing/Production"
IT Technical Support Specialist,Proserv.,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Software Engineering, Software Development, Computer Science, Customer Service, Customer Care, Customer Support, English"
